Brass,Karlas,Konig
215,55851,55850
1780,1263,55851
6729,10291,3717
154810,9361,50488
2521,23367,56660
7691,10213,23049
10815,9775,1263
57147,3329,10297
1315,9776,10291
1314,10517,1787
9276,8784,3320
11185,85300,93953
57122,3552,28996
2700,526,10105
10204,1915,9201
4236,9830,10114
4846,10188,1832
7319,58533,2322
51167,7514,5584
1825,166655,92
5304,7511,10181
537,10663,51172
533,54508,56893
10594,56729,2324
8704,1315,7005
372,3837,11113
53942,25932,56300
115677,3832,338599
118980,3768,10188
191,23765,153571
9092,10280,9625
9650,64772,54507
9651,23277,114971
10432,51560,29110
25888,83983,79705
9716,8022,2011
25813,23563,64601
4809,29127,816
6514,3248,1521
9780,8875,23604
1659,962,2550
8738,5300,1314
8739,337867,9276
2931,6651,5062
90952,537,10725
197259,54510,8438
200185,23165,23765
4350,83706,369
79818,10594,1511
54946,23166,10280
25978,85417,387911
6507,2797,6446
10980,2905,5757
91746,7030,440396
56342,4654,5961
9550,22938,6015
515,5253,6093
80863,26507,8021
53353,91754,9464
331,4125,653712
59286,1409,29127
10559,527,80231
7710,55234,6792
51340,10607,5594
2058,523,441670
10992,5682,9230
5868,2051,5610
90557,3660,57551
27329,9256,79872
22820,55929,537
56114,55600,533
57418,84292,27347
10155,55809,9575
80765,54518,10616
10241,5328,1385
5652,4148,827
84108,51429,372
2212,1740,377841
7564,57585,3568
91409,10907,290
58509,92235,2475
5226,83886,4923
6217,284058,147
7767,6830,23770
6191,343472,64284
27233,84894,94234
26121,117584,10733
155066,10300,5605
9343,56911,5607
132884,6929,5606
6628,3299,401665
64858,2197,2580
1203,5338,5063
286464,8341,2334
80740,11224,3674
93649,55959,3675
22818,9636,5253
81544,166614,284366
1198,975,1717
9818,5708,643641
1965,5437,790
4928,51639,4809
9019,1586,5566
8934,6439,5310
1756,6204,5096
10482,22820,4058
51659,6208,167681
246329,284086,526
284355,64400,527
23451,23524,1019
23450,10159,523
6633,115548,2263
6634,567,2260
23621,9746,1394
4714,7483,29035
57703,4609,2264
7069,3725,361
1974,8260,3581
27295,965,2444
96764,1027,51257
9922,57484,9256
,6404,9159
,861,30849
,27032,2932
,1629,4193
,6294,57534
,6217,10783
,8661,11213
,8663,9578
,8666,3265
,6193,93611
,79171,11214
,5441,7786
,5798,10036
,23533,9641
,10001,4920
,4913,114299
,8938,1434
,1314,2045
,6625,5580
,9276,441239
,1056,4296
,196403,2346
,4928,2048
,1195,51422
,115708,89891
,115330,57502
,9890,122525
,10768,7423
,10482,55229
,113612,23387
,1173,27092
,9356,10595
,611,2162
,9114,96626
,2729,3778
,132001,440738
,9048,23552
,6737,335
,23451,56164
,6636,283455
,54866,79574
,56949,56997
,5631,8290
,477,127733
,10202,6604
,57621,10381
,6233,7341
,,116447
,,166614
,,2050
,,975
,,157
,,55652
,,1733
,,5707
,,90736
,,84197
,,6204
,,23396
,,9972
,,4886
,,6334
,,658
,,57418
,,9509
,,7294
,,9135
,,10155
,,57579
,,10159
,,54776
,,118442
,,124583
,,6613
,,29959
,,8570
,,340024
,,3725
,,8476
,,2936
,,9231
,,51526
,,58526
,,6357
,,10849
,,254065
,,5422
,,5797
,,1455
,,6196
,,9149
,,51061
,,2022
,,284230
,,113878
,,8837
,,6328
,,8831
,,2357
,,5798
,,51393
,,3760
,,29882
,,51390
,,54980
,,23534
,,602
,,6811
,,2869
,,2703
,,79641
,,9943
,,30815
,,256126
,,3837
,,1845
,,9180
,,55872
,,6627
,,6624
,,6625
,,30811
,,7178
,,387082
,,6340
,,6478
,,92579
,,401007
,,2342
,,3767
,,1195
,,1613
,,340260
,,55577
,,203068
,,8677
,,114880
,,6224
,,126541
,,115701
,,10055
,,5805
,,23216
,,2870
,,5165
,,207
,,9448
,,114788
,,23386
,,9114
,,56311
,,3356
,,23352
,,57120
,,204851
,,70
,,8558
,,730974
,,80818
,,22820
,,54991
,,57085
,,3547
,,54866
,,1280
,,4914
,,4915
,,65220
,,2539
,,25831
,,351
,,3984
,,6442